"Reference","Value","Footprint","Qty"
"C1,C3,C4","10n","0805","3"
"C2,C5","4u7","Tantalum 3216-18","2"
"C6,C7,C8,C9,C10","100n","0805","5"
"C11,C12","10u","Radial D5.0mm P2.50mm","2"
"D1,D2,D3,D7,D8","1N4148","SOD-123","5"
"D4","LED","LED D3.0mm","1"
"D5,D6","B140","SMA","2"
"J1,J2","WQP-PJ301M","WQP-PJ301M","2"
"J4","10P IDC Header","IDC Header 02x05 P2.54mm Vertical","1"
"Q1,Q2,Q3,Q4,Q5","BC847","SOT-23","5"
"Q6","2N7002K","SOT-23","1"
"R1,R3,R6,R8,R26,R28","10k","0805","6"
"R2,R4,R11,R12,R13","4k7","0805","5"
"R5,R7","22k","0805","2"
"R9","270k","0805","1"
"R10","120k","0805","1"
"R14,R15,R16","100","0805","3"
"R17,R27","1M","0805","2"
"R21,R22","1k","0805","2"
"R24,R25","Ferrite (or 10R)","0805","2"
"RV1","B1M","Bourns PTV09A Vertical","1"
"RV2","B10k","Bourns PTV09A Vertical","1"
"RV3,RV4,RV5","A1M","Bourns PTV09A Vertical","3"
"SW1","DPDT","Dailywell 2MD1T1B1M1","1"
"SW2","DPST mom-ON","6mm pushbutton switch","1"
"U1","TLC556","SOIC-14 3.9x8.7mm","1"
"U2","TL074","SOIC-14 3.9x8.7mm","1"
